id,title,type,job_category_names,currency_code,budget_min_eur,budget_max_eur,hourly_min_eur,hourly_avg_eur,hourly_max_eur,fair_pay_score,url
40491987,Engagierter Remote-Kundendienst auf Englisch,hourly,"Websites, IT & Software, Writing & Content, Translation & Languages, Translation & Languages, Data Entry & Admin, Data Entry & Admin, Websites, IT & Software, Websites, IT & Software",EUR,12.0,18.0,12.0,15.0,18.0,1,https://www.freelancer.com/projects/customer-service/Engagierter-Remote-Kundendienst-auf
40490096,Part-Time Admin & Web Assistant,hourly,"Design, Media & Architecture, Design, Media & Architecture, Websites, IT & Software, Websites, IT & Software, Business, Accounting, Human Resources & Legal, Writing & Content, Design, Media & Architecture, Websites, IT & Software",AUD,1.2154286802118306,4.861714720847322,1.2154286802118306,3.0385717005295767,4.861714720847322,0,https://www.freelancer.com/projects/canva/Part-Time-Admin-Web-Assistant
40489409,Milanuncios.com Job Ad Poster,hourly,"Websites, IT & Software, Data Entry & Admin, Websites, IT & Software, Jobs for Anyone, Writing & Content, Websites, IT & Software, Websites, IT & Software, Websites, IT & Software",EUR,2.0,6.0,2.0,4.0,6.0,0,https://www.freelancer.com/projects/data-entry/Milanuncios-com-Job-Poster
40555655,Vimeo-Wix Video-Sperre Setup,hourly,"Design, Media & Architecture, Design, Media & Architecture, Websites, IT & Software, Design, Media & Architecture, Design, Media & Architecture, Websites, IT & Software, Websites, IT & Software, Design, Media & Architecture",EUR,11.863971479007303,17.795957218510953,11.863971479007303,14.829964348759127,17.795957218510953,1,https://www.freelancer.com/projects/vimeo/Vimeo-Wix-Video-Sperre-Setup
40555613,Role-Play Interview Coach Needed,hourly,"Sales & Marketing, Websites, IT & Software, Business, Accounting, Human Resources & Legal, Business, Accounting, Human Resources & Legal, Business, Accounting, Human Resources & Legal, Websites, IT & Software",EUR,11.863971479007303,17.795957218510953,11.863971479007303,14.829964348759127,17.795957218510953,1,https://www.freelancer.com/projects/consulting/Role-Play-Interview-Coach-Needed
40553554,Full-Stack DApp Developer Needed,hourly,"Websites, IT & Software, Websites, IT & Software, Websites, IT & Software, Websites, IT & Software, Websites, IT & Software, Websites, IT & Software",EUR,17.795957218510953,35.591914437021906,17.795957218510953,26.69393582776643,35.591914437021906,1,https://www.freelancer.com/projects/solidity/Full-Stack-DApp-Developer-Needed
40553176,B2B Logistics Cold Calling Expert,hourly,"Sales & Marketing, Sales & Marketing, Sales & Marketing, Design, Media & Architecture, Data Entry & Admin, Sales & Marketing, Business, Accounting, Human Resources & Legal, Sales & Marketing",USD,6.922571042885328,12.97982070540999,6.922571042885328,9.95119587414766,12.97982070540999,0,https://www.freelancer.com/projects/lead-generation/Logistics-Cold-Calling-Expert
40549809,Digital Ergonomics | Human Simulation | Xsens Motion Capture | ema Work Designer,hourly,"Product Sourcing & Manufacturing, Design, Media & Architecture, Design, Media & Architecture, Engineering & Science, Design, Media & Architecture, Engineering & Science, Engineering & Science, Design, Media & Architecture, Websites, IT & Software, Design, Media & Architecture",EUR,11.863971479007303,17.795957218510953,11.863971479007303,14.829964348759127,17.795957218510953,1,https://www.freelancer.com/projects/simulation/Digital-Ergonomics-Human-Simulation
40545319,Stundenbasierte Buchhaltung Berlin,hourly,"Business, Accounting, Human Resources & Legal, Data Entry & Admin",EUR,11.863971479007303,17.795957218510953,11.863971479007303,14.829964348759127,17.795957218510953,1,https://www.freelancer.com/projects/accounting/Stundenbasierte-Buchhaltung-Berlin
40543517,Outdoor Ultrasonic Vehicle Detection,hourly,"Engineering & Science, Engineering & Science, Product Sourcing & Manufacturing, Engineering & Science, Engineering & Science, Engineering & Science, Engineering & Science, Artificial Intelligence",USD,21.63303450901665,43.2660690180333,21.63303450901665,32.44955176352497,43.2660690180333,1,https://www.freelancer.com/projects/object-detection/Outdoor-Ultrasonic-Vehicle-Detection
40577455,Deutsche Einzelsatz-Aufnahmen per Smartphone oder Komputer,hourly,"Writing & Content, Design, Media & Architecture, Translation & Languages, Design, Media & Architecture, Design, Media & Architecture, Education, Design, Media & Architecture",EUR,17.789103873178497,35.578207746356995,17.789103873178497,26.683655809767746,35.578207746356995,1,https://www.freelancer.com/projects/voice-over/Deutsche-Einzelsatz-Aufnahmen-per
40580198,Hiring for my office work assistant virtual,hourly,"Writing & Content, Data Entry & Admin, Jobs for Anyone, Jobs for Anyone, Websites, IT & Software, Websites, IT & Software, Artificial Intelligence, Artificial Intelligence",EUR,5.929701291059499,11.859402582118998,5.929701291059499,8.894551936589249,11.859402582118998,0,https://www.freelancer.com/projects/research/Hiring-for-office-work-assistant
40580194,Mystery Thriller Audiobook Narrator,hourly,"Design, Media & Architecture, Writing & Content, Design, Media & Architecture, Design, Media & Architecture, Design, Media & Architecture, Design, Media & Architecture, Design, Media & Architecture, Design, Media & Architecture",EUR,5.929701291059499,11.859402582118998,5.929701291059499,8.894551936589249,11.859402582118998,0,https://www.freelancer.com/projects/audiobook/Mystery-Thriller-Audiobook-Narrator
40577742,Modern business cards with professional designs,hourly,"Design, Media & Architecture, Design, Media & Architecture, Data Entry & Admin, Sales & Marketing, Websites, IT & Software, Websites, IT & Software",EUR,11.859402582118998,17.789103873178497,11.859402582118998,14.824253227648747,17.789103873178497,1,https://www.freelancer.com/projects/graphic-design/Modern-business-cards-with-professional-40577742
40575835,WordPress Blog Relaunch Design Stadt-Entwicklungsspirale,hourly,"Websites, IT & Software, Design, Media & Architecture, Websites, IT & Software, Websites, IT & Software, Websites, IT & Software, Sales & Marketing, Design, Media & Architecture, Websites, IT & Software, Websites, IT & Software, Websites, IT & Software",EUR,11.859402582118998,17.789103873178497,11.859402582118998,14.824253227648747,17.789103873178497,1,https://www.freelancer.com/projects/html/WordPress-Blog-Relaunch-Design-Stadt
40573369,Debian Touchscreen Terminal App,hourly,"Websites, IT & Software, Websites, IT & Software, Websites, IT & Software, Websites, IT & Software, Websites, IT & Software, Websites, IT & Software, Websites, IT & Software, Websites, IT & Software",EUR,17.789103873178497,35.578207746356995,17.789103873178497,26.683655809767746,35.578207746356995,1,https://www.freelancer.com/projects/desktop-application/Debian-Touchscreen-Terminal-App
40571065,Senior React Frontend Engineer Needed,hourly,"Websites, IT & Software, Design, Media & Architecture, Websites, IT & Software, Websites, IT & Software, Websites, IT & Software, Websites, IT & Software, Websites, IT & Software, Websites, IT & Software",USD,12.97982070540999,21.63303450901665,12.97982070540999,17.30642760721332,21.63303450901665,1,https://www.freelancer.com/projects/graphql/Senior-React-Frontend-Engineer-Needed
40568747,Laufende WordPress-Unterstützung gesucht,hourly,"Websites, IT & Software, Design, Media & Architecture, Websites, IT & Software, Websites, IT & Software, Websites, IT & Software, Websites, IT & Software, Websites, IT & Software, Websites, IT & Software, Websites, IT & Software, Websites, IT & Software",EUR,11.859402582118998,17.789103873178497,11.859402582118998,14.824253227648747,17.789103873178497,1,https://www.freelancer.com/projects/html/Laufende-WordPress-Unterst-tzung-gesucht
